Time period,20052773001,20052773002,20052773003,20052773004,20052773005,20052773006,20052773007,20052773008,20052773009,20052773010,20052773011,20052773012,20052773013,20052773014,20052773015,shipping,ramping
0,26.0,21.0,27.0,26.0,21.0,21.0,26.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0,0
1,25.0,20.0,25.0,25.0,20.0,20.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0,15
2,12.0,9.0,12.0,12.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,12
