Time period,20052773001,20052773002,20052773003,20052773004,20052773005,20052773006,20052773007,20052773008,20052773009,20052773010,20052773011,20052773012,20052773013,20052773014,20052773015,shipping,ramping
0,24.0,20.0,25.0,25.0,20.0,19.0,24.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,0,0
1,24.0,19.0,24.0,24.0,19.0,19.0,23.0,19.0,19.0,19.0,20.0,20.0,19.0,19.0,20.0,0,15
2,17.0,14.0,18.0,18.0,14.0,14.0,17.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,0,11
