item,location,week,year,units
20052773006,3210,50,2023,0.0
20052773006,3210,51,2023,0.0
20052773006,3210,52,2023,0.0
20052773006,3210,1,2024,0.0
20052773006,3210,2,2024,0.0
20052773006,3210,19,2023,0.71
20052773006,3210,20,2023,0.671
20052773006,3210,21,2023,0.78
20052773006,3210,22,2023,0.914
20052773006,3210,23,2023,0.748
20052773006,3210,24,2023,0.619
20052773006,3210,25,2023,0.705
20052773006,3210,26,2023,0.779
20052773006,3210,27,2023,0.766
20052773006,3210,28,2023,0.692
20052773006,3210,29,2023,0.737
20052773006,3210,30,2023,0.71
20052773006,3210,31,2023,0.796
20052773006,3210,32,2023,0.859
20052773006,3210,33,2023,0.722
20052773006,3210,34,2023,0.799
20052773006,3210,35,2023,0.889
20052773006,3210,36,2023,0.869
20052773006,3210,37,2023,0.7
20052773006,3210,38,2023,0.742
20052773006,3210,39,2023,0.773
20052773006,3210,40,2023,0.812
20052773006,3210,41,2023,0.962
20052773006,3210,42,2023,0.872
20052773006,3210,43,2023,0.81
20052773006,3210,44,2023,0.821
20052773006,3210,45,2023,0.814
20052773006,3210,46,2023,0.708
20052773006,3210,47,2023,0.836
20052773006,3210,48,2023,0.0
20052773006,3210,49,2023,0.0
20052773006,3210,18,2023,0.756
20052773006,3210,8,2024,0.0
20052773006,3210,9,2024,0.0
20052773006,3210,10,2024,0.0
20052773006,3210,11,2024,0.0
20052773006,3210,12,2024,0.0
20052773006,3210,13,2024,0.0
20052773006,3210,14,2024,0.0
20052773006,3210,15,2024,0.0
20052773006,3210,16,2024,0.0
20052773006,3210,17,2024,0.0
20052773006,3210,3,2024,0.0
20052773006,3210,4,2024,0.0
20052773006,3210,5,2024,0.0
20052773006,3210,6,2024,0.0
20052773006,3210,7,2024,0.0
