item,location,week,year,units
20064068010,3220,18,2023,6.409
20064068010,3220,19,2023,6.187
20064068010,3220,20,2023,6.558
20064068010,3220,21,2023,7.252
20064068010,3220,22,2023,7.91
20064068010,3220,23,2023,6.243
20064068010,3220,24,2023,5.962
20064068010,3220,25,2023,6.494
20064068010,3220,26,2023,7.754
20064068010,3220,27,2023,7.473
20064068010,3220,28,2023,6.616
20064068010,3220,29,2023,6.462
20064068010,3220,30,2023,6.962
20064068010,3220,31,2023,7.091
20064068010,3220,32,2023,7.94
20064068010,3220,33,2023,6.98
20064068010,3220,34,2023,6.89
20064068010,3220,35,2023,8.137
20064068010,3220,36,2023,7.962
20064068010,3220,37,2023,6.013
20064068010,3220,38,2023,6.26
20064068010,3220,39,2023,6.526
20064068010,3220,40,2023,6.774
20064068010,3220,41,2023,6.855
20064068010,3220,42,2023,6.345
20064068010,3220,43,2023,6.268
20064068010,3220,44,2023,6.976
20064068010,3220,45,2023,7.107
20064068010,3220,46,2023,6.627
20064068010,3220,47,2023,7.735
20064068010,3220,48,2023,6.18
20064068010,3220,49,2023,5.847
20064068010,3220,50,2023,5.621
20064068010,3220,51,2023,4.542
20064068010,3220,52,2023,5.294
20064068010,3220,1,2024,5.28
20064068010,3220,2,2024,4.654
20064068010,3220,3,2024,4.786
20064068010,3220,4,2024,4.557
20064068010,3220,5,2024,7.202
20064068010,3220,6,2024,7.433
20064068010,3220,7,2024,7.904
20064068010,3220,8,2024,9.272
20064068010,3220,9,2024,8.673
20064068010,3220,10,2024,7.3
20064068010,3220,11,2024,7.28
20064068010,3220,12,2024,7.687
20064068010,3220,13,2024,7.8
20064068010,3220,14,2024,5.633
20064068010,3220,15,2024,6.729
20064068010,3220,16,2024,6.608
20064068010,3220,17,2024,6.872
