item,location,week,year,units
20064068017,3220,6,2024,1.439
20064068017,3220,7,2024,1.53
20064068017,3220,8,2024,1.795
20064068017,3220,9,2024,1.679
20064068017,3220,10,2024,1.413
20064068017,3220,11,2024,1.409
20064068017,3220,12,2024,1.488
20064068017,3220,39,2023,1.263
20064068017,3220,40,2023,1.311
20064068017,3220,41,2023,1.327
20064068017,3220,42,2023,1.228
20064068017,3220,43,2023,1.213
20064068017,3220,44,2023,1.35
20064068017,3220,45,2023,1.376
20064068017,3220,46,2023,1.283
20064068017,3220,47,2023,1.497
20064068017,3220,48,2023,1.196
20064068017,3220,49,2023,1.132
20064068017,3220,50,2023,1.088
20064068017,3220,51,2023,0.879
20064068017,3220,52,2023,1.025
20064068017,3220,1,2024,1.022
20064068017,3220,2,2024,0.901
20064068017,3220,3,2024,0.926
20064068017,3220,4,2024,0.882
20064068017,3220,5,2024,1.394
20064068017,3220,13,2024,1.51
20064068017,3220,14,2024,1.09
20064068017,3220,15,2024,1.302
20064068017,3220,16,2024,1.279
20064068017,3220,17,2024,1.33
20064068017,3220,18,2023,1.241
20064068017,3220,19,2023,1.198
20064068017,3220,20,2023,1.269
20064068017,3220,21,2023,1.404
20064068017,3220,22,2023,1.531
20064068017,3220,23,2023,1.208
20064068017,3220,24,2023,1.154
20064068017,3220,25,2023,1.257
20064068017,3220,26,2023,1.501
20064068017,3220,27,2023,1.446
20064068017,3220,28,2023,1.281
20064068017,3220,29,2023,1.251
20064068017,3220,30,2023,1.348
20064068017,3220,31,2023,1.372
20064068017,3220,32,2023,1.537
20064068017,3220,33,2023,1.351
20064068017,3220,34,2023,1.334
20064068017,3220,35,2023,1.575
20064068017,3220,36,2023,1.541
20064068017,3220,37,2023,1.164
20064068017,3220,38,2023,1.212
