po_number,item,location,week,year,units,createDate
4501076307,20014461029,3200,21,2023,10.0,2023-01-05
4501084252,20014461029,3220,18,2023,5.0,2023-01-27
4501090464,20014461029,3000,23,2023,17.0,2023-02-17
4501078391,20014461029,3000,18,2023,10.0,2023-01-12
4501112655,20014461029,3000,33,2023,3.0,2023-04-27
4501110265,20014461029,3000,30,2023,2.0,2023-04-20
4501078413,20014461029,3210,18,2023,11.0,2023-01-12
4501083099,20014461029,3010,23,2023,11.0,2023-01-26
4501090484,20014461029,3010,26,2023,15.0,2023-02-17
4501091210,20014461029,3210,25,2023,14.0,2023-02-17
4501110277,20014461013,3000,31,2023,3.0,2023-04-20
4501070840,20014461013,3010,19,2023,3.0,2022-12-15
4501110314,20014461013,3200,31,2023,1.0,2023-04-20
4501086267,20014461013,3200,25,2023,7.0,2023-02-03
4501098579,20014461013,3200,30,2023,2.0,2023-03-10
4501112655,20014461013,3000,33,2023,2.0,2023-04-27
4501110311,20014461013,3200,31,2023,1.0,2023-04-20
4501110265,20014461013,3000,30,2023,3.0,2023-04-20
4501090524,20014461013,3200,25,2023,11.0,2023-02-17
4501110324,20014461013,3200,32,2023,1.0,2023-04-20
4501110307,20014461013,3010,34,2023,6.0,2023-04-20
4501110241,20014461013,3000,29,2023,3.0,2023-04-20
4501110338,20014461013,3200,33,2023,1.0,2023-04-20
4501110244,20014461013,3000,29,2023,3.0,2023-04-20
4501110311,20014461016,3200,31,2023,2.0,2023-04-20
4501110244,20014461016,3000,29,2023,17.0,2023-04-20
4501090484,20014461016,3010,26,2023,19.0,2023-02-17
4501091210,20014461016,3210,25,2023,8.0,2023-02-17
4501070840,20014461016,3010,19,2023,7.0,2022-12-15
4501110265,20014461016,3000,30,2023,17.0,2023-04-20
4501098373,20014461016,3010,34,2023,14.0,2023-03-09
4501084251,20014461029,3220,17,2023,5.0,2023-01-27
4501098588,20014461029,3210,27,2023,20.0,2023-03-10
4501083097,20014461029,3010,21,2023,11.0,2023-01-26
4501062585,20014461029,3010,18,2023,19.0,2022-11-17
4501083098,20014461029,3010,22,2023,11.0,2023-01-26
4501086267,20014461029,3200,25,2023,28.0,2023-02-03
4501098579,20014461029,3200,30,2023,8.0,2023-03-10
4501067104,20014461029,3010,19,2023,6.0,2022-12-02
4501098595,20014461029,3220,30,2023,1.0,2023-03-10
4501098594,20014461029,3220,26,2023,1.0,2023-03-10
4501110241,20014461029,3000,29,2023,2.0,2023-04-20
4501084253,20014461029,3220,22,2023,5.0,2023-01-27
4501076319,20014461029,3220,17,2023,16.0,2023-01-05
4501098359,20014461029,3000,28,2023,18.0,2023-03-09
4501078413,20014461031,3210,18,2023,9.0,2023-01-12
4501086020,20014461031,3000,23,2023,5.0,2023-02-02
4501112655,20014461031,3000,33,2023,5.0,2023-04-27
4501076249,20014461031,3000,18,2023,12.0,2023-01-05
4501110265,20014461031,3000,30,2023,3.0,2023-04-20
4501110277,20014461031,3000,31,2023,3.0,2023-04-20
4501091224,20014461031,3220,27,2023,10.0,2023-02-17
4501098595,20014461016,3220,30,2023,5.0,2023-03-10
4501091224,20014461016,3220,27,2023,8.0,2023-02-17
4501110314,20014461016,3200,31,2023,2.0,2023-04-20
4501076307,20014461016,3200,21,2023,37.0,2023-01-05
4501062585,20014461016,3010,18,2023,17.0,2022-11-17
4501110366,20014461016,3210,31,2023,41.0,2023-04-20
4501110355,20014461016,3210,29,2023,41.0,2023-04-20
4501098594,20014461016,3220,26,2023,5.0,2023-03-10
4501078413,20014461016,3210,18,2023,15.0,2023-01-12
4501110277,20014461016,3000,31,2023,17.0,2023-04-20
4501072838,20014461016,3000,20,2023,1.0,2022-12-22
4501086267,20014461016,3200,25,2023,18.0,2023-02-03
4501098579,20014461016,3200,30,2023,44.0,2023-03-10
4501078391,20014461016,3000,18,2023,4.0,2023-01-12
4501110324,20014461016,3200,32,2023,2.0,2023-04-20
4501112655,20014461016,3000,33,2023,18.0,2023-04-27
4501067104,20014461016,3010,19,2023,10.0,2022-12-02
4501084251,20014461016,3220,17,2023,14.0,2023-01-27
4501084252,20014461016,3220,18,2023,14.0,2023-01-27
4501110241,20014461016,3000,29,2023,17.0,2023-04-20
4501074386,20014461016,3010,21,2023,12.0,2022-12-29
4501098595,20014461031,3220,30,2023,1.0,2023-03-10
4501090464,20014461031,3000,23,2023,15.0,2023-02-17
4501090524,20014461031,3200,25,2023,5.0,2023-02-17
4501076307,20014461031,3200,21,2023,10.0,2023-01-05
4501084252,20014461031,3220,18,2023,9.0,2023-01-27
4501067104,20014461031,3010,19,2023,8.0,2022-12-02
4501083098,20014461031,3010,22,2023,10.0,2023-01-26
4501112708,20014461031,3220,32,2023,1.0,2023-04-27
4501086267,20014461031,3200,25,2023,29.0,2023-02-03
4501098579,20014461031,3200,30,2023,6.0,2023-03-10
4501084251,20014461031,3220,17,2023,9.0,2023-01-27
4501098594,20014461031,3220,26,2023,1.0,2023-03-10
4501098588,20014461031,3210,27,2023,20.0,2023-03-10
4501090484,20014461031,3010,26,2023,39.0,2023-02-17
4501083099,20014461031,3010,23,2023,10.0,2023-01-26
4501091210,20014461031,3210,25,2023,21.0,2023-02-17
4501110241,20014461031,3000,29,2023,3.0,2023-04-20
4501074386,20014461031,3010,21,2023,15.0,2022-12-29
4501084253,20014461031,3220,22,2023,9.0,2023-01-27
4501083097,20014461031,3010,21,2023,10.0,2023-01-26
4501098359,20014461031,3000,28,2023,21.0,2023-03-09
4501090524,20014461016,3200,25,2023,16.0,2023-02-17
4501084253,20014461016,3220,22,2023,14.0,2023-01-27
4501076319,20014461016,3220,17,2023,33.0,2023-01-05
4501108120,20014461016,3000,31,2023,14.0,2023-04-13
4501098359,20014461016,3000,28,2023,35.0,2023-03-09
4501110338,20014461016,3200,33,2023,2.0,2023-04-20
4501078413,20014461030,3210,18,2023,28.0,2023-01-12
4501084217,20014461030,3210,21,2023,4.0,2023-01-27
4501076319,20014461030,3220,17,2023,26.0,2023-01-05
4501098373,20014461030,3010,34,2023,21.0,2023-03-09
4501110314,20014461030,3200,31,2023,2.0,2023-04-20
4501090464,20014461030,3000,23,2023,53.0,2023-02-17
4501070840,20014461030,3010,19,2023,7.0,2022-12-15
4501074386,20014461030,3010,21,2023,17.0,2022-12-29
4501090524,20014461030,3200,25,2023,8.0,2023-02-17
4501110311,20014461030,3200,31,2023,2.0,2023-04-20
4501076307,20014461030,3200,21,2023,15.0,2023-01-05
4501084252,20014461030,3220,18,2023,7.0,2023-01-27
4501084251,20014461030,3220,17,2023,7.0,2023-01-27
4501078391,20014461030,3000,18,2023,22.0,2023-01-12
4501062585,20014461031,3010,18,2023,14.0,2022-11-17
4501070840,20014461031,3010,19,2023,4.0,2022-12-15
4501110244,20014461031,3000,29,2023,3.0,2023-04-20
4501078404,20014461048,3200,20,2023,11.0,2023-01-12
4501110244,20014461048,3000,29,2023,6.0,2023-04-20
4501098577,20014461048,3200,29,2023,33.0,2023-03-10
4501083160,20014461048,3010,22,2023,29.0,2023-01-26
4501090485,20014461048,3010,26,2023,44.0,2023-02-17
4501082927,20014461048,3000,19,2023,26.0,2023-01-26
4501084215,20014461048,3210,21,2023,29.0,2023-01-27
4501091211,20014461048,3210,25,2023,65.0,2023-02-17
4501079120,20014461048,3220,18,2023,32.0,2023-01-13
4501090489,20014461048,3010,26,2023,3.0,2023-02-17
4501082931,20014461048,3000,21,2023,26.0,2023-01-26
4501110324,20014461048,3200,32,2023,23.0,2023-04-20
4501076314,20014461048,3210,18,2023,20.0,2023-01-05
4501112655,20014461048,3000,33,2023,21.0,2023-04-27
4501110265,20014461048,3000,30,2023,6.0,2023-04-20
4501098578,20014461048,3200,31,2023,33.0,2023-03-10
4501083174,20014461048,3010,23,2023,29.0,2023-01-26
4501068808,20014461048,3200,18,2023,20.0,2022-12-08
4501098594,20014461014,3220,26,2023,11.0,2023-03-10
4501078413,20014461014,3210,18,2023,39.0,2023-01-12
4501083099,20014461014,3010,23,2023,12.0,2023-01-26
4501091210,20014461014,3210,25,2023,75.0,2023-02-17
4501083098,20014461014,3010,22,2023,12.0,2023-01-26
4501086020,20014461014,3000,23,2023,77.0,2023-02-02
4501098588,20014461014,3210,27,2023,59.0,2023-03-10
4501091224,20014461014,3220,27,2023,11.0,2023-02-17
4501090464,20014461014,3000,23,2023,88.0,2023-02-17
4501098373,20014461014,3010,34,2023,41.0,2023-03-09
