item,location,week,year,units
20064068008,3220,47,2023,6.267
20064068008,3220,48,2023,5.007
20064068008,3220,49,2023,4.737
20064068008,3220,50,2023,4.554
20064068008,3220,51,2023,3.68
20064068008,3220,52,2023,4.289
20064068008,3220,32,2023,6.433
20064068008,3220,33,2023,5.656
20064068008,3220,34,2023,5.583
20064068008,3220,35,2023,6.593
20064068008,3220,36,2023,6.451
20064068008,3220,37,2023,4.872
20064068008,3220,38,2023,5.072
20064068008,3220,39,2023,5.288
20064068008,3220,40,2023,5.489
20064068008,3220,41,2023,5.554
20064068008,3220,42,2023,5.141
20064068008,3220,43,2023,5.078
20064068008,3220,44,2023,5.652
20064068008,3220,45,2023,5.758
20064068008,3220,46,2023,5.369
20064068008,3220,1,2024,4.278
20064068008,3220,2,2024,3.77
20064068008,3220,3,2024,3.877
20064068008,3220,4,2024,3.692
20064068008,3220,5,2024,5.835
20064068008,3220,6,2024,6.022
20064068008,3220,7,2024,6.404
20064068008,3220,8,2024,7.512
20064068008,3220,9,2024,7.027
20064068008,3220,10,2024,5.914
20064068008,3220,11,2024,5.898
20064068008,3220,12,2024,6.228
20064068008,3220,13,2024,6.32
20064068008,3220,14,2024,4.564
20064068008,3220,15,2024,5.452
20064068008,3220,16,2024,5.354
20064068008,3220,17,2024,5.568
20064068008,3220,18,2023,5.193
20064068008,3220,19,2023,5.013
20064068008,3220,20,2023,5.314
20064068008,3220,21,2023,5.876
20064068008,3220,22,2023,6.409
20064068008,3220,23,2023,5.058
20064068008,3220,24,2023,4.831
20064068008,3220,25,2023,5.262
20064068008,3220,26,2023,6.283
20064068008,3220,27,2023,6.054
20064068008,3220,28,2023,5.361
20064068008,3220,29,2023,5.236
20064068008,3220,30,2023,5.641
20064068008,3220,31,2023,5.745
