item,location,week,year,units
20052773008,3000,26,2023,0.533
20052773008,3000,27,2023,0.524
20052773008,3000,28,2023,0.474
20052773008,3000,29,2023,0.505
20052773008,3000,18,2023,0.518
20052773008,3000,19,2023,0.486
20052773008,3000,20,2023,0.459
20052773008,3000,21,2023,0.534
20052773008,3000,22,2023,0.626
20052773008,3000,23,2023,0.512
20052773008,3000,24,2023,0.424
20052773008,3000,25,2023,0.482
20052773008,3000,49,2023,0.446
20052773008,3000,50,2023,0.425
20052773008,3000,51,2023,0.365
20052773008,3000,52,2023,0.366
20052773008,3000,1,2024,0.473
20052773008,3000,2,2024,0.44
20052773008,3000,3,2024,0.452
20052773008,3000,4,2024,0.419
20052773008,3000,5,2024,0.396
20052773008,3000,6,2024,0.433
20052773008,3000,7,2024,0.556
20052773008,3000,8,2024,0.849
20052773008,3000,9,2024,0.705
20052773008,3000,10,2024,0.634
20052773008,3000,11,2024,0.605
20052773008,3000,12,2024,0.533
20052773008,3000,13,2024,0.585
20052773008,3000,14,2024,0.445
20052773008,3000,15,2024,0.567
20052773008,3000,16,2024,0.586
20052773008,3000,17,2024,0.571
20052773008,3000,32,2023,0.588
20052773008,3000,33,2023,0.494
20052773008,3000,34,2023,0.547
20052773008,3000,35,2023,0.623
20052773008,3000,36,2023,0.609
20052773008,3000,37,2023,0.459
20052773008,3000,38,2023,0.487
20052773008,3000,39,2023,0.507
20052773008,3000,40,2023,0.532
20052773008,3000,41,2023,0.547
20052773008,3000,42,2023,0.496
20052773008,3000,43,2023,0.461
20052773008,3000,44,2023,0.546
20052773008,3000,30,2023,0.486
20052773008,3000,31,2023,0.545
20052773008,3000,45,2023,0.542
20052773008,3000,46,2023,0.525
20052773008,3000,47,2023,0.62
20052773008,3000,48,2023,0.478
