item,location,week,year,units
20064068008,3200,18,2023,7.634
20064068008,3200,19,2023,7.369
20064068008,3200,20,2023,7.811
20064068008,3200,21,2023,8.638
20064068008,3200,22,2023,9.421
20064068008,3200,23,2023,7.435
20064068008,3200,24,2023,7.101
20064068008,3200,25,2023,7.735
20064068008,3200,26,2023,9.343
20064068008,3200,27,2023,9.004
20064068008,3200,28,2023,7.972
20064068008,3200,29,2023,7.786
20064068008,3200,30,2023,8.388
20064068008,3200,31,2023,8.543
20064068008,3200,32,2023,9.566
20064068008,3200,33,2023,8.41
20064068008,3200,34,2023,8.302
20064068008,3200,35,2023,9.804
20064068008,3200,36,2023,9.593
20064068008,3200,37,2023,7.244
20064068008,3200,38,2023,7.542
20064068008,3200,39,2023,7.863
20064068008,3200,40,2023,8.162
20064068008,3200,41,2023,8.259
20064068008,3200,42,2023,7.645
20064068008,3200,43,2023,7.551
20064068008,3200,44,2023,8.405
20064068008,3200,45,2023,8.563
20064068008,3200,46,2023,7.985
20064068008,3200,47,2023,9.319
20064068008,3200,48,2023,7.445
20064068008,3200,49,2023,7.045
20064068008,3200,50,2023,6.772
20064068008,3200,51,2023,5.472
20064068008,3200,52,2023,6.378
20064068008,3200,1,2024,6.361
20064068008,3200,2,2024,5.607
20064068008,3200,3,2024,5.766
20064068008,3200,4,2024,5.49
20064068008,3200,5,2024,8.677
20064068008,3200,6,2024,8.955
20064068008,3200,7,2024,9.523
20064068008,3200,8,2024,11.171
20064068008,3200,9,2024,10.45
20064068008,3200,10,2024,8.795
20064068008,3200,11,2024,8.771
20064068008,3200,12,2024,9.262
20064068008,3200,13,2024,9.398
20064068008,3200,14,2024,6.787
20064068008,3200,15,2024,8.108
20064068008,3200,16,2024,7.962
20064068008,3200,17,2024,8.28
