item,location,week,year,units
20080884,3000,22,2023,0.0
20080884,3000,23,2023,0.0
20080884,3000,24,2023,0.0
20080884,3000,25,2023,0.0
20080884,3000,26,2023,28.999
20080884,3000,27,2023,68.211
20080884,3000,28,2023,83.347
20080884,3000,29,2023,114.338
20080884,3000,30,2023,118.183
20080884,3000,31,2023,121.686
20080884,3000,32,2023,143.082
20080884,3000,33,2023,120.677
20080884,3000,34,2023,121.189
20080884,3000,35,2023,150.902
20080884,3000,36,2023,165.059
20080884,3000,37,2023,123.073
20080884,3000,38,2023,119.754
20080884,3000,39,2023,122.261
20080884,3000,40,2023,136.211
20080884,3000,41,2023,148.936
20080884,3000,42,2023,142.245
20080884,3000,43,2023,145.971
20080884,3000,44,2023,170.546
20080884,3000,45,2023,209.088
20080884,3000,46,2023,209.149
20080884,3000,47,2023,196.095
20080884,3000,48,2023,155.533
20080884,3000,49,2023,144.296
20080884,3000,50,2023,145.345
20080884,3000,51,2023,107.36
20080884,3000,52,2023,87.302
20080884,3000,1,2024,100.56
20080884,3000,2,2024,85.28
20080884,3000,3,2024,93.417
20080884,3000,4,2024,89.004
20080884,3000,5,2024,92.375
20080884,3000,6,2024,89.85
20080884,3000,7,2024,123.717
20080884,3000,8,2024,172.23
20080884,3000,9,2024,148.236
20080884,3000,10,2024,142.716
20080884,3000,11,2024,133.936
20080884,3000,12,2024,140.127
20080884,3000,13,2024,125.829
20080884,3000,14,2024,119.515
20080884,3000,15,2024,112.128
20080884,3000,16,2024,131.685
20080884,3000,17,2024,120.862
20080884,3000,18,2023,0.0
20080884,3000,19,2023,0.0
20080884,3000,20,2023,0.0
20080884,3000,21,2023,0.0
