item,location,week,year,units
20064068013,3010,43,2023,11.749
20064068013,3010,44,2023,13.076
20064068013,3010,45,2023,13.322
20064068013,3010,46,2023,12.423
20064068013,3010,47,2023,14.499
20064068013,3010,48,2023,11.584
20064068013,3010,49,2023,10.961
20064068013,3010,50,2023,10.536
20064068013,3010,51,2023,8.514
20064068013,3010,52,2023,9.923
20064068013,3010,1,2024,9.372
20064068013,3010,2,2024,8.26
20064068013,3010,3,2024,8.494
20064068013,3010,4,2024,8.088
20064068013,3010,5,2024,12.783
20064068013,3010,6,2024,13.193
20064068013,3010,7,2024,14.03
20064068013,3010,8,2024,16.458
20064068013,3010,9,2024,15.395
20064068013,3010,10,2024,12.957
20064068013,3010,11,2024,12.921
20064068013,3010,12,2024,13.645
20064068013,3010,13,2024,13.845
20064068013,3010,14,2024,9.998
20064068013,3010,15,2024,11.944
20064068013,3010,16,2024,11.73
20064068013,3010,17,2024,12.198
20064068013,3010,18,2023,11.173
20064068013,3010,19,2023,10.786
20064068013,3010,20,2023,11.432
20064068013,3010,21,2023,12.642
20064068013,3010,22,2023,13.789
20064068013,3010,23,2023,10.883
20064068013,3010,24,2023,10.394
20064068013,3010,25,2023,11.321
20064068013,3010,26,2023,13.518
20064068013,3010,27,2023,13.027
20064068013,3010,28,2023,11.534
20064068013,3010,29,2023,11.265
20064068013,3010,30,2023,12.136
20064068013,3010,31,2023,12.361
20064068013,3010,32,2023,13.84
20064068013,3010,33,2023,12.168
20064068013,3010,34,2023,12.011
20064068013,3010,35,2023,14.719
20064068013,3010,36,2023,14.402
20064068013,3010,37,2023,10.876
20064068013,3010,38,2023,11.323
20064068013,3010,39,2023,11.805
20064068013,3010,40,2023,12.254
20064068013,3010,41,2023,12.625
20064068013,3010,42,2023,11.686
