item,location,week,year,units
20064068005,3210,42,2023,1.951
20064068005,3210,43,2023,1.927
20064068005,3210,44,2023,2.145
20064068005,3210,45,2023,2.185
20064068005,3210,46,2023,2.038
20064068005,3210,47,2023,2.378
20064068005,3210,48,2023,1.9
20064068005,3210,49,2023,1.798
20064068005,3210,50,2023,1.728
20064068005,3210,51,2023,1.397
20064068005,3210,52,2023,1.628
20064068005,3210,1,2024,1.624
20064068005,3210,2,2024,1.431
20064068005,3210,3,2024,1.472
20064068005,3210,4,2024,1.401
20064068005,3210,5,2024,2.215
20064068005,3210,6,2024,2.286
20064068005,3210,7,2024,2.431
20064068005,3210,8,2024,2.851
20064068005,3210,9,2024,2.667
20064068005,3210,18,2023,1.971
20064068005,3210,19,2023,1.903
20064068005,3210,20,2023,2.017
20064068005,3210,21,2023,2.23
20064068005,3210,22,2023,2.432
20064068005,3210,23,2023,1.92
20064068005,3210,24,2023,1.834
20064068005,3210,25,2023,1.997
20064068005,3210,26,2023,2.385
20064068005,3210,27,2023,2.298
20064068005,3210,28,2023,2.035
20064068005,3210,29,2023,1.987
20064068005,3210,30,2023,2.141
20064068005,3210,31,2023,2.181
20064068005,3210,32,2023,2.442
20064068005,3210,33,2023,2.147
20064068005,3210,34,2023,2.119
20064068005,3210,35,2023,2.502
20064068005,3210,36,2023,2.448
20064068005,3210,37,2023,1.849
20064068005,3210,38,2023,1.925
20064068005,3210,39,2023,2.007
20064068005,3210,40,2023,2.083
20064068005,3210,41,2023,2.108
20064068005,3210,10,2024,2.245
20064068005,3210,11,2024,2.239
20064068005,3210,12,2024,2.364
20064068005,3210,13,2024,2.399
20064068005,3210,14,2024,1.732
20064068005,3210,15,2024,2.069
20064068005,3210,16,2024,2.032
20064068005,3210,17,2024,2.113
