item,location,week,year,units
20052773001,3200,5,2024,1.451
20052773001,3200,6,2024,1.588
20052773001,3200,7,2024,2.037
20052773001,3200,8,2024,3.114
20052773001,3200,9,2024,2.585
20052773001,3200,10,2024,2.325
20052773001,3200,11,2024,2.218
20052773001,3200,12,2024,1.956
20052773001,3200,13,2024,2.147
20052773001,3200,14,2024,1.63
20052773001,3200,15,2024,2.081
20052773001,3200,16,2024,2.147
20052773001,3200,17,2024,2.095
20052773001,3200,18,2023,1.914
20052773001,3200,19,2023,1.796
20052773001,3200,20,2023,1.697
20052773001,3200,21,2023,1.974
20052773001,3200,22,2023,2.313
20052773001,3200,23,2023,1.892
20052773001,3200,24,2023,1.567
20052773001,3200,25,2023,1.783
20052773001,3200,26,2023,2.001
20052773001,3200,27,2023,1.968
20052773001,3200,28,2023,1.777
20052773001,3200,29,2023,1.894
20052773001,3200,30,2023,1.824
20052773001,3200,31,2023,2.044
20052773001,3200,32,2023,2.208
20052773001,3200,33,2023,1.854
20052773001,3200,34,2023,2.053
20052773001,3200,35,2023,2.283
20052773001,3200,36,2023,2.233
20052773001,3200,37,2023,1.681
20052773001,3200,38,2023,1.784
20052773001,3200,39,2023,1.858
20052773001,3200,40,2023,1.951
20052773001,3200,41,2023,2.006
20052773001,3200,42,2023,1.818
20052773001,3200,43,2023,1.689
20052773001,3200,44,2023,2.003
20052773001,3200,45,2023,1.986
20052773001,3200,46,2023,1.924
20052773001,3200,47,2023,2.272
20052773001,3200,48,2023,1.753
20052773001,3200,49,2023,1.637
20052773001,3200,50,2023,1.558
20052773001,3200,51,2023,1.337
20052773001,3200,52,2023,1.341
20052773001,3200,1,2024,1.735
20052773001,3200,2,2024,1.614
20052773001,3200,3,2024,1.657
20052773001,3200,4,2024,1.538
