item,location,week,year,units
20064068009,3010,6,2024,7.272
20064068009,3010,7,2024,7.733
20064068009,3010,8,2024,9.071
20064068009,3010,9,2024,8.486
20064068009,3010,10,2024,7.142
20064068009,3010,11,2024,7.122
20064068009,3010,12,2024,7.521
20064068009,3010,13,2024,7.631
20064068009,3010,14,2024,5.511
20064068009,3010,15,2024,6.584
20064068009,3010,16,2024,6.465
20064068009,3010,17,2024,6.723
20064068009,3010,37,2023,5.994
20064068009,3010,38,2023,6.241
20064068009,3010,39,2023,6.506
20064068009,3010,40,2023,6.754
20064068009,3010,41,2023,6.958
20064068009,3010,42,2023,6.44
20064068009,3010,43,2023,6.474
20064068009,3010,44,2023,7.206
20064068009,3010,45,2023,7.342
20064068009,3010,46,2023,6.846
20064068009,3010,47,2023,7.99
20064068009,3010,48,2023,6.383
20064068009,3010,49,2023,6.04
20064068009,3010,50,2023,5.806
20064068009,3010,51,2023,4.692
20064068009,3010,52,2023,5.468
20064068009,3010,1,2024,5.166
20064068009,3010,2,2024,4.553
20064068009,3010,3,2024,4.682
20064068009,3010,4,2024,4.458
20064068009,3010,5,2024,7.046
20064068009,3010,18,2023,6.159
20064068009,3010,19,2023,5.945
20064068009,3010,20,2023,6.302
20064068009,3010,21,2023,6.969
20064068009,3010,22,2023,7.601
20064068009,3010,23,2023,5.999
20064068009,3010,24,2023,5.729
20064068009,3010,25,2023,6.24
20064068009,3010,26,2023,7.451
20064068009,3010,27,2023,7.181
20064068009,3010,28,2023,6.358
20064068009,3010,29,2023,6.209
20064068009,3010,30,2023,6.69
20064068009,3010,31,2023,6.814
20064068009,3010,32,2023,7.629
20064068009,3010,33,2023,6.707
20064068009,3010,34,2023,6.621
20064068009,3010,35,2023,8.112
20064068009,3010,36,2023,7.937
