item,location,week,year,units
20080884,3010,20,2023,0.0
20080884,3010,21,2023,0.0
20080884,3010,22,2023,0.0
20080884,3010,23,2023,0.0
20080884,3010,24,2023,0.0
20080884,3010,25,2023,0.0
20080884,3010,26,2023,0.0
20080884,3010,27,2023,0.0
20080884,3010,28,2023,0.0
20080884,3010,29,2023,8.053
20080884,3010,30,2023,18.178
20080884,3010,31,2023,27.172
20080884,3010,32,2023,41.89
20080884,3010,33,2023,35.331
20080884,3010,34,2023,35.481
20080884,3010,35,2023,44.18
20080884,3010,36,2023,48.325
20080884,3010,37,2023,36.033
20080884,3010,38,2023,35.061
20080884,3010,39,2023,35.795
20080884,3010,40,2023,39.879
20080884,3010,41,2023,43.605
20080884,3010,42,2023,41.646
20080884,3010,43,2023,42.736
20080884,3010,44,2023,49.931
20080884,3010,45,2023,61.215
20080884,3010,46,2023,61.233
20080884,3010,47,2023,57.411
20080884,3010,48,2023,45.536
20080884,3010,49,2023,42.246
20080884,3010,50,2023,42.553
20080884,3010,51,2023,31.432
20080884,3010,52,2023,25.56
20080884,3010,1,2024,29.441
20080884,3010,2,2024,24.968
20080884,3010,3,2024,27.35
20080884,3010,4,2024,26.058
20080884,3010,5,2024,27.045
20080884,3010,6,2024,26.306
20080884,3010,7,2024,36.221
20080884,3010,8,2024,50.424
20080884,3010,9,2024,43.399
20080884,3010,10,2024,41.783
20080884,3010,11,2024,39.213
20080884,3010,12,2024,41.025
20080884,3010,13,2024,36.839
20080884,3010,14,2024,34.991
20080884,3010,15,2024,32.828
20080884,3010,16,2024,38.554
20080884,3010,17,2024,35.385
20080884,3010,18,2023,0.0
20080884,3010,19,2023,0.0
