item,location,week,year,units
20064068017,3200,15,2024,1.747
20064068017,3200,16,2024,1.715
20064068017,3200,17,2024,1.784
20064068017,3200,18,2023,1.645
20064068017,3200,19,2023,1.588
20064068017,3200,20,2023,1.683
20064068017,3200,21,2023,1.861
20064068017,3200,22,2023,2.03
20064068017,3200,23,2023,1.602
20064068017,3200,24,2023,1.53
20064068017,3200,25,2023,1.666
20064068017,3200,26,2023,2.013
20064068017,3200,27,2023,1.94
20064068017,3200,28,2023,1.718
20064068017,3200,29,2023,1.678
20064068017,3200,30,2023,1.807
20064068017,3200,31,2023,1.841
20064068017,3200,32,2023,2.061
20064068017,3200,33,2023,1.812
20064068017,3200,34,2023,1.789
20064068017,3200,35,2023,2.112
20064068017,3200,36,2023,2.067
20064068017,3200,37,2023,1.561
20064068017,3200,38,2023,1.625
20064068017,3200,39,2023,1.694
20064068017,3200,40,2023,1.759
20064068017,3200,41,2023,1.78
20064068017,3200,42,2023,1.647
20064068017,3200,43,2023,1.627
20064068017,3200,44,2023,1.811
20064068017,3200,45,2023,1.845
20064068017,3200,46,2023,1.72
20064068017,3200,47,2023,2.008
20064068017,3200,48,2023,1.604
20064068017,3200,49,2023,1.518
20064068017,3200,50,2023,1.459
20064068017,3200,51,2023,1.179
20064068017,3200,52,2023,1.374
20064068017,3200,1,2024,1.371
20064068017,3200,2,2024,1.208
20064068017,3200,3,2024,1.242
20064068017,3200,4,2024,1.183
20064068017,3200,5,2024,1.87
20064068017,3200,6,2024,1.929
20064068017,3200,7,2024,2.052
20064068017,3200,8,2024,2.407
20064068017,3200,9,2024,2.251
20064068017,3200,10,2024,1.895
20064068017,3200,11,2024,1.89
20064068017,3200,12,2024,1.996
20064068017,3200,13,2024,2.025
20064068017,3200,14,2024,1.462
