#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
10375028.858641,5,0.735594
4875272.191468,5,0.743655
10375305.284973,5,0.743655
5075175.59766,5,0.751655
2575247.499868,5,0.759646
5175112.28457,5,0.759646
10375298.331249,5,0.767643
10375398.122542,5,0.775639
10375578.425779,5,0.78336
10374927.073377,5,0.78336
10375146.667118,5,0.78336
10375059.329686,5,0.799085
10375429.533682,5,0.799085
4975070.865591,5,0.799085
2575320.189333,5,0.814636
10375419.109394,5,0.814636
10375113.501185,5,0.827924
10375297.467188,5,0.842512
10375033.80623,5,0.850508
10375201.22454,5,0.850508
10375162.990169,5,0.858515
10375508.168718,5,0.866539
7775335.641995,5,0.874601
10375097.59285,5,0.874601
10375178.887471,5,0.882564
10375438.637552,5,0.890588
5175431.232802,5,0.890588
10375515.10325,5,0.899979
10375654.836582,5,0.899979
5175026.657216,5,0.899979
5175138.571103,5,0.915707
7775382.747381,5,0.915707
10375578.084187,5,0.915707
7775156.841984,5,0.931331
5175394.522973,5,0.931331
5175372.465864,5,0.931331
10375422.008828,5,0.951727
2275331.111242,5,0.95979
10375342.531714,5,0.95979
7775268.019523,5,0.967753
10375436.852436,5,0.975816
10375547.65211,5,0.983764
10375206.212922,5,0.983764
10375254.299375,5,0.991814
10375564.814159,5,0.999741
10375456.432954,5,0.999741
5175445.722089,5,1.007895
10375183.674346,5,1.016599
7775349.695553,5,1.016599
10375469.806522,5,1.016599
10375171.780799,5,1.032222
10375297.022801,5,1.032222
10375098.826008,5,1.047847
10375376.839254,5,1.047847
10375354.447244,5,1.047847
7775229.179867,5,1.067957
7775045.318168,5,1.075959
5175388.794058,5,1.083958
5075274.014785,5,1.083958
5175030.189042,5,1.091954
10375460.910226,5,1.099952
10375177.298206,5,1.10795
10375237.58774,5,1.115943
10374803.257224,5,1.13194
5175254.388634,5,1.133368
7775470.663443,5,1.133368
2574966.321022,5,1.148996
5175037.457603,5,1.148996
5175290.354979,5,1.169463
10375420.325301,5,1.169463
10375234.193807,5,1.177447
10375270.740465,5,1.185444
10374899.368606,5,1.19344
10374773.388506,5,1.201437
10375172.716484,5,1.209434
10375293.034569,5,1.209434
7675283.998494,5,1.21743
7674830.128367,5,1.225427
10374922.195126,5,1.225427
10375250.527883,5,1.233347
7774691.302492,5,1.233347
5175303.370249,5,1.249048
10375263.787931,5,1.289955
5175065.991515,5,1.297951
7775302.769907,5,1.297951
2575154.646652,5,1.305957
5175123.651507,5,1.313944
5174952.052142,5,1.321941
5174873.712754,5,1.321941
2375315.932212,5,1.329937
10375160.961416,5,1.337934
7775266.456471,5,1.345933
10374937.425811,5,1.345933
10375028.717532,5,1.35393
7775072.098253,5,1.361927
7775213.48073,5,1.368269
10375300.200556,5,1.368269
7775425.027384,5,1.368269
10374730.203208,5,1.388908
10375142.161378,5,1.388908
10375119.725751,5,1.396904
10375119.19751,5,1.404903
10375343.075154,5,1.4129
10375141.262639,5,1.4129
10375386.661796,5,1.420964
5175016.294239,5,1.428962
7774606.426533,5,1.428962
10375077.412374,5,1.436956
10375238.975535,5,1.444957
10374838.987493,5,1.450142
5175169.594998,5,1.450142
10375121.201624,5,1.450142
10375122.851276,5,1.468363
4974861.455754,5,1.468363
10375262.780298,5,1.468363
10375194.917017,5,1.483989
10375264.56249,5,1.483989
5175128.989003,5,1.483989
10375085.083945,5,1.504708
10374705.339476,5,1.512705
10375395.730965,5,1.520701
10374855.651918,5,1.528699
10375282.553524,5,1.536694
10375217.736539,5,1.536694
10375224.233488,5,1.544691
10375142.136026,5,1.552688
10375102.120014,5,1.560685
10375292.308172,5,1.568689
5175054.349244,5,1.568689
10375711.50974,5,1.568689
7775160.85593,5,1.584015
10375366.410544,5,1.59208
10375267.998637,5,1.59208
10375113.642663,5,1.608012
10375118.459737,5,1.608012
7775193.721786,5,1.616071
10374861.003738,5,1.624001
10375097.182301,5,1.631997
5175197.362945,5,1.631997
10375305.589797,5,1.639994
10375149.806755,5,1.64799
10375067.132398,5,1.64799
10375034.413012,5,1.655988
5175129.70462,5,1.666743
7775150.804485,5,1.668833
10375290.221372,5,1.668833
10375428.776696,5,1.668833
10374980.090557,5,1.684531
10375508.695938,5,1.684531
10375620.464755,5,1.700095
10375251.05511,5,1.700095
7775432.435371,5,1.700095
2575212.707608,5,1.720791
5175074.583175,5,1.728788
10375296.725176,5,1.728788
10375337.054711,5,1.736859
10375281.954458,5,1.744855
10375109.198934,5,1.744855
10375139.003715,5,1.752849
10375162.764104,5,1.760851
5175334.771096,5,1.760851
5175006.872789,5,1.768847
10375136.556026,5,1.77684
10375027.912594,5,1.78346
10375390.532532,5,1.78346
10375524.23965,5,1.78346
7775433.311489,5,1.799152
5175158.875419,5,1.799152
5175201.176301,5,1.799152
10374943.196104,5,1.814707
10375264.759392,5,1.814707
10375013.363557,5,1.814707
10374997.143781,5,1.835996
10375166.423899,5,1.844064
5175419.605442,5,1.85199
5175544.93403,5,1.85199
10375080.540221,5,1.863578
10375273.515434,5,1.868855
10375485.682496,5,1.868855
2575522.977743,5,1.876855
10375415.258032,5,1.884852
10375214.358945,5,1.892861
10375166.750584,5,1.892861
10375395.118484,5,1.900924
10375329.698012,5,1.908922
10375426.229812,5,1.908922
10375183.101978,5,1.916813
10375469.794961,5,1.916813
10375211.553995,5,1.932437
10375103.51766,5,1.937656
10375034.611038,5,1.945735
2575327.859647,5,1.953726
7775213.567436,5,1.953726
10375247.304968,5,1.961723
10375423.172201,5,1.969723
10375554.947181,5,1.969723
5174828.125511,5,1.977718
10374842.203365,5,1.985714
10375154.776955,5,1.993632
7775087.520019,5,1.993632
5175370.067862,5,2.000157
10375009.320624,5,2.000157
10375197.059072,5,2.015853
10375288.556978,5,2.015853
5175283.607691,5,2.015853
10375478.218084,5,2.031478
10374933.106115,5,2.031478
5175332.207158,5,2.031478
10375490.011736,5,2.05213
5175157.684891,5,2.05213
10375142.429726,5,2.060202
10375280.368389,5,2.068123
10375162.125536,5,2.076121
10375114.24697,5,2.084117
10375128.971409,5,2.084117
10375153.123084,5,2.092113
10374952.127837,5,2.100132
10375389.504883,5,2.100132
10375062.136017,5,2.108106
10375317.807662,5,2.117307
