#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
10374814.98846,5,6.162747
10374793.793099,5,6.170747
10374584.44934,5,6.178731
10374444.777197,5,6.1791
10374128.765106,5,6.1791
10374176.550525,5,6.194827
7774442.236204,5,6.194827
7774598.721509,5,6.194827
10374567.156089,5,6.215132
7774809.677606,5,6.223197
10374530.101306,5,6.223197
10374569.026501,5,6.231201
7774555.541508,5,6.239219
10374381.237417,5,6.239219
10374775.131794,5,6.247225
10374715.326877,5,6.255214
10374559.198837,5,6.255214
