Time period,20052773001,20052773002,20052773003,20052773004,20052773005,20052773006,20052773007,20052773008,20052773009,20052773010,20052773011,20052773012,20052773013,20052773014,20052773015
0,35.0,14.999999999999998,39.0,27.999999999999996,17.999999999999474,27.0,35.999999999999815,23.0,15.99999999999946,18.0,22.000000000000036,21.999999999998867,17.000000000000004,23.0,31.000000000000007
1,34.0,13.999999999999998,38.0,28.000000000000004,18.999999999999474,25.0,36.999999999999815,22.0,15.00000000000054,20.0,23.000000000000036,22.999999999998867,16.0,24.000000000000362,29.999999999999993
2,36.0,14.000000000000007,38.00000000000001,27.000000000000004,19.999999999999474,23.0,37.999999999999815,21.0,17.00000000000054,22.0,24.000000000000036,23.999999999998867,14.0,26.000000000000362,27.999999999999993
