Time period,20064068017,20064068016,20064068008,20064068011,20064068010,20064068003,20064068015,20064068005,20064068002,20064068004,20064068013,20064068009,20064068014,20052773001,20052773004,20052773003,20052773002,20052773008,20052773006,20052773007,20052773005
0,0,0,24.0,1.0,31.0,21.0,0,0,15.0,0,29.0,18.0,30.0,0,0,0,0,0,3.0,0,0
1,0,0,21.0,4.0,25.0,16.0,0,0,11.0,0,26.0,15.0,24.0,0,0,0,0,0,1.0,0,0
2,0,0,19.0,1.0,20.0,11.0,0,0,8.0,0,28.0,15.0,20.0,0,0,0,0,0,1.0,0,0
3,0,0,16.0,6.0,14.0,7.0,0,0,5.0,0,32.0,19.0,14.0,0,0,0,0,0,1.0,0,0
4,0,0,17.0,11.0,16.0,2.0,0,0,2.0,0,36.0,23.0,7.0,0,1.0,0,0,0,1.0,0,0
